1: small
2: large
3: XXXlarge
4: Custom Test Data
5: Pokemon Dataset
3
What dataset file do you want to use?
Enter a valid number from 1-24:
10
Datasets/CS170_XXXlarge_Data__10.txt
Type the number of the algorithm you want to run.
1. Forward Selection
2. Backwards Elimination
1

prevBestAccuracy = 0
Using Features(s) {} while considering 1, the accuracy is 70.22%
Using Features(s) {} while considering 2, the accuracy is 70.94%
Using Features(s) {} while considering 3, the accuracy is 69.79%
Using Features(s) {} while considering 4, the accuracy is 70.14%
Using Features(s) {} while considering 5, the accuracy is 69.07%
Using Features(s) {} while considering 6, the accuracy is 70.27%
Using Features(s) {} while considering 7, the accuracy is 70.52%
Using Features(s) {} while considering 8, the accuracy is 70.44%
Using Features(s) {} while considering 9, the accuracy is 70.44%
Using Features(s) {} while considering 10, the accuracy is 70.64%
Using Features(s) {} while considering 11, the accuracy is 70.89%
Using Features(s) {} while considering 12, the accuracy is 71.02%
Using Features(s) {} while considering 13, the accuracy is 69.29%
Using Features(s) {} while considering 14, the accuracy is 70.99%
Using Features(s) {} while considering 15, the accuracy is 69.87%
Using Features(s) {} while considering 16, the accuracy is 69.34%
Using Features(s) {} while considering 17, the accuracy is 69.54%
Using Features(s) {} while considering 18, the accuracy is 69.14%
Using Features(s) {} while considering 19, the accuracy is 69.59%
Using Features(s) {} while considering 20, the accuracy is 68.22%
Using Features(s) {} while considering 21, the accuracy is 69.84%
Using Features(s) {} while considering 22, the accuracy is 70.14%
Using Features(s) {} while considering 23, the accuracy is 71.12%
Using Features(s) {} while considering 24, the accuracy is 69.39%
Using Features(s) {} while considering 25, the accuracy is 69.47%
Using Features(s) {} while considering 26, the accuracy is 71.09%
Using Features(s) {} while considering 27, the accuracy is 69.87%
Using Features(s) {} while considering 28, the accuracy is 70.09%
Using Features(s) {} while considering 29, the accuracy is 70.24%
Using Features(s) {} while considering 30, the accuracy is 69.57%
Using Features(s) {} while considering 31, the accuracy is 69.02%
Using Features(s) {} while considering 32, the accuracy is 71.04%
Using Features(s) {} while considering 33, the accuracy is 70.52%
Using Features(s) {} while considering 34, the accuracy is 68.99%
Using Features(s) {} while considering 35, the accuracy is 69.94%
Using Features(s) {} while considering 36, the accuracy is 69.87%
Using Features(s) {} while considering 37, the accuracy is 69.82%
Using Features(s) {} while considering 38, the accuracy is 69.94%
Using Features(s) {} while considering 39, the accuracy is 70.24%
Using Features(s) {} while considering 40, the accuracy is 70.34%
Using Features(s) {} while considering 41, the accuracy is 69.59%
Using Features(s) {} while considering 42, the accuracy is 69.69%
Using Features(s) {} while considering 43, the accuracy is 71.19%
Using Features(s) {} while considering 44, the accuracy is 70.09%
Using Features(s) {} while considering 45, the accuracy is 71.12%
Using Features(s) {} while considering 46, the accuracy is 69.67%
Using Features(s) {} while considering 47, the accuracy is 69.07%
Using Features(s) {} while considering 48, the accuracy is 70.39%
Using Features(s) {} while considering 49, the accuracy is 69.69%
Using Features(s) {} while considering 50, the accuracy is 70.47%
Using Features(s) {} while considering 51, the accuracy is 69.47%
Using Features(s) {} while considering 52, the accuracy is 70.14%
Using Features(s) {} while considering 53, the accuracy is 70.72%
Using Features(s) {} while considering 54, the accuracy is 69.42%
Using Features(s) {} while considering 55, the accuracy is 70.39%
Using Features(s) {} while considering 56, the accuracy is 70.82%
Using Features(s) {} while considering 57, the accuracy is 71.29%
Using Features(s) {} while considering 58, the accuracy is 73.74%
Using Features(s) {} while considering 59, the accuracy is 70.74%
Using Features(s) {} while considering 60, the accuracy is 69.89%
Using Features(s) {} while considering 61, the accuracy is 70.04%
Using Features(s) {} while considering 62, the accuracy is 70.99%
Using Features(s) {} while considering 63, the accuracy is 70.92%
Using Features(s) {} while considering 64, the accuracy is 69.12%
Using Features(s) {} while considering 65, the accuracy is 70.04%
Using Features(s) {} while considering 66, the accuracy is 70.52%
Using Features(s) {} while considering 67, the accuracy is 71.47%
Using Features(s) {} while considering 68, the accuracy is 70.32%
Using Features(s) {} while considering 69, the accuracy is 69.17%
Using Features(s) {} while considering 70, the accuracy is 70.37%
Using Features(s) {} while considering 71, the accuracy is 71.27%
Using Features(s) {} while considering 72, the accuracy is 70.49%
Using Features(s) {} while considering 73, the accuracy is 70.47%
Using Features(s) {} while considering 74, the accuracy is 68.82%
Using Features(s) {} while considering 75, the accuracy is 70.42%
Using Features(s) {} while considering 76, the accuracy is 69.62%
Using Features(s) {} while considering 77, the accuracy is 70.02%
Using Features(s) {} while considering 78, the accuracy is 85.45%
Using Features(s) {} while considering 79, the accuracy is 69.94%
Using Features(s) {} while considering 80, the accuracy is 69.42%
For level 1, the index chosen is 78 with an accuracy of 85.45%
The current feature list is: {78}


prevBestAccuracy = 85.45
Using Features(s) {78} while considering 1, the accuracy is 83.47%
Using Features(s) {78} while considering 2, the accuracy is 84.92%
Using Features(s) {78} while considering 3, the accuracy is 83.75%
